RBD,MAPUCHE,NOP,PO
6348,166,209,168
6349,76,215,76
6350,75,112,75
6351,102,47,102
6352,18,87,18
6353,4,4,4
6354,1,0,1
6358,8,2,8
6361,2,3,2
6363,,2,0
6370,,2,0
6371,15,3,15
6373,26,1,26
6374,1,3,1
6397,121,143,121
6398,113,364,114
6399,91,127,91
6400,9,2,9
6407,4,0,4
6410,12,2,12
6413,3,3,3
6415,2,9,2
6452,332,174,332
6454,49,8,49
6455,45,20,45
6456,23,12,23
6457,142,83,142
6458,32,20,32
6459,47,29,47
6495,48,10,48
6497,435,434,435
6499,85,196,86
6500,484,743,484
6501,205,440,205
6502,37,94,38
6504,83,74,83
6506,,4,0
6510,5,0,5
6512,,4,0
6515,,3,0
6518,6,2,6
6521,1,1,1
6522,,3,0
6523,3,0,3
6524,,3,0
6528,31,18,33
6529,2,5,2
6539,14,5,14
6585,469,435,470
6587,330,201,330
6588,119,146,120
6590,42,20,42
6591,3,11,3
6593,76,30,77
6600,8,0,8
6602,14,3,14
6605,13,6,13
6608,15,10,15
6611,17,11,17
6623,17,7,17
6625,2,0,2
6628,14,6,14
6633,23,14,23
6635,1,1,1
6639,28,5,28
12366,32,41,32
20053,70,26,70
20248,31,151,31
